URL,Content creator,Username,Date added,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
https://www.facebook.com/153707081317782,América Televisión,americatelevision,2023-05-23,15251391,Spanish,yes,100,6933
https://www.facebook.com/1374375156131889,Mahesh Babu,urstrulyMahesh,2023-03-09,15184389,English,yes,0,447052
https://www.facebook.com/488183741272500,Ena Saha,EnaSahaOfficial,2023-03-09,15118866,English,yes,3,51007
https://www.facebook.com/110283932385165,Varun Pruthi,ActorVarun,2023-03-09,15074797,English,yes,0,0
https://www.facebook.com/500689923461310,Project Nightfall,ProjectNightfall,2023-03-09,14943379,English,yes,2,257547
https://www.facebook.com/20446254070,Insider Business,businessinsider,2023-03-09,14853083,English,yes,8,23404
https://www.facebook.com/139188202817559,Interesting Engineering,interestingengineering,2023-03-09,14846864,English,yes,56,16256
https://www.facebook.com/306989494110,World of Dance,worldofdance,2023-03-09,14835297,English,yes,49,10606
https://www.facebook.com/1922865171271266,Sabores,sabores.social,2023-03-09,14828727,Spanish,yes,0,0
https://www.facebook.com/165761813596666,MBC BOLLYWOOD,MBCBollywood,2023-03-09,14823380,Arabic,yes,64,10147
https://www.facebook.com/352751268256569,Insider Tech,techinsider,2023-07-24,14785678,English,yes,0,32320
https://www.facebook.com/1701116873450808,Incrível,incrivelclub,2023-07-21,14722519,Portuguese,yes,18,8784
https://www.facebook.com/176059555776157,Rotana Cinema,RotanaCinemaTV,2023-07-21,14546326,Arabic,yes,7,64638
https://www.facebook.com/1140725932707897,Milton Samadder,miltonsamadder.info,2023-03-09,14531244,Bengali,yes,2,117994
https://www.facebook.com/207329749360110,somoynews.tv,somoynews.tv,2023-07-21,14461187,Bengali,yes,0,0
https://www.facebook.com/75791669580,Billboard,Billboard,2023-03-09,14388744,English,yes,0,1410
https://www.facebook.com/38023859749,Upin & Ipin,upinipinofficial,2023-07-21,14346643,Malay,yes,10,59247
https://www.facebook.com/254805431383872,Maisa Silva,Maisa,2023-03-09,14339379,Portuguese,yes,0,0
https://www.facebook.com/284300559123,Miami Heat,MiamiHeat,2023-04-16,14302067,English,yes,3,35461
https://www.facebook.com/1051855591619677,Craft Factory,CraftFactory,2023-05-21,14163723,English,yes,23,25762
https://www.facebook.com/673519436096629,ET بالعربي,ETbilArabi,2023-07-21,14113296,Arabic,yes,0,0
https://www.facebook.com/746758592124869,Maithili Thakur,maithilithakurofficial,2023-03-09,14108680,Hindi,yes,8,0
https://www.facebook.com/452842058809839,Pimrypie - พิมรี่พาย,pimrypie.official,2023-03-09,14085584,Thai,yes,0,0
https://www.facebook.com/27984799990,HUM TV,humtvpakistan,2023-03-09,14052646,English,yes,31,23414
https://www.facebook.com/81147439122,Zoom TV,zoomtv,2023-07-21,14018639,English,yes,78,7181
https://www.facebook.com/1717305411884928,Mercy Johnson Okojie,MercyJohnsonOkojie,2023-03-09,13992980,English,yes,2,106080
https://www.facebook.com/159105497465230,Koel Mallick,YourKoel,2023-07-02,13974180,Bengali,yes,70,13030
https://www.facebook.com/100427670003361,ESPN Fans,espnfans.argentina,2023-03-09,13964278,Spanish,yes,3,6033
https://www.facebook.com/470982436310240,Sassy,SassymediaTV,2023-06-30,13963919,English,yes,0,0
https://www.facebook.com/280069172043452,TRANS7,OfficialTRANS7,2023-03-09,13882270,Indonesian,yes,20,9125
https://www.facebook.com/794009544066457,Chefclub Brasil,chefclubbrasil,2023-03-09,13882176,Portuguese,yes,0,0
https://www.facebook.com/1521410468170410,MrBeast,MrBeast6000,2023-07-21,13855036,English,yes,7,162902
https://www.facebook.com/203823349640145,Samaa TV,samaatvnews,2023-03-09,13852376,Urdu,yes,51,3488
https://www.facebook.com/21898300328,BuzzFeed,BuzzFeed,2023-03-09,13820983,English,yes,3,4821
https://www.facebook.com/413587845428833,Haifa Wehbe,HaifaWehbe,2023-03-09,13811290,Arabic,yes,0,0
https://www.facebook.com/1895943520715799,Priya  Varrier,priyawarrieractress,2023-07-21,13779184,English,yes,0,182560
https://www.facebook.com/386149218109721,STEVE on Watch,SteveHarveytv,2023-03-09,13630701,English,yes,0,0
https://www.facebook.com/804722076362085,ChooxTv,ChooxTv,2023-06-04,13626744,Tagalog,yes,7,1327020
https://www.facebook.com/1749229695128457,Born Different,BornDifferentShow,2023-07-23,13626408,English,yes,16,30261
https://www.facebook.com/127006617379193,Maite Perroni,MaitePerroniPaginaOficial,2023-04-18,13623246,Spanish,yes,1,64186
https://www.facebook.com/561570717303822,Gabbi Garcia,OfficialGabbiGarcia,2023-03-09,13583267,English,yes,0,0
https://www.facebook.com/107844962567241,Chennai Super Kings,TheChennaiSuperKings,2023-03-09,13493949,English,yes,2,39921
https://www.facebook.com/1062087110516834,MetDaan Tips,MetDaanTips,2023-07-21,13411961,English,yes,5,65584
https://www.facebook.com/634784363349240,อีจัน,ejan2016,2023-05-19,13408372,Thai,yes,42,1811
https://www.facebook.com/1818749535063540,AmoMama.com,,2023-07-10,13356690,English,yes,11,77838
https://www.facebook.com/212031498854619,Comedy Central Latinoamérica,ComedyCentralLA,2023-03-09,13349110,Spanish,yes,20,51082
https://www.facebook.com/6751601388,T-Pain,t-pain,2023-03-09,13134938,English,yes,6,6233
https://www.facebook.com/363155357144681,مي عمر - Mai Omar,Mai.Omar.fans,2023-05-30,13115691,Arabic,yes,0,0
https://www.facebook.com/108906725836105,Yeng Constantino,yengconstantinoreal,2023-03-09,13006226,Tagalog,yes,3,28253
https://www.facebook.com/132520803451684,SBT,SBT,2023-03-09,12958518,Portuguese,yes,13,8955
https://www.facebook.com/67400590475,Cyanide & Happiness,explosm,2023-07-21,12817492,English,yes,1,100133
https://www.facebook.com/922026077907319,VTV Giải trí,vtvgiaitri,2023-07-21,12803009,Vietnamese,yes,45,274176
https://www.facebook.com/273235623305453,Arishfa khan,Iarishfakhan,2023-03-09,12796097,English,yes,0,0
https://www.facebook.com/44263599741,Nitro Circus,NitroCircus,2023-04-26,12770025,English,yes,7,112481
https://www.facebook.com/38908434735,JEET,jeet30official,2023-07-21,12743788,English,yes,0,48825
https://www.facebook.com/150056741734333,Pakistan Cricket Team,PakistanCricketBoard,2023-07-21,12718005,English,yes,2,70085
https://www.facebook.com/372806740242937,Zeinab Harake,,2022-10-08,12693225,Tagalog,yes,0,0
https://www.facebook.com/230516873660802,ช่อง8,Thaich8,2022-11-25,12666130,Thai,yes,69,0
https://www.facebook.com/685825711464172,X Factor Global,xfactorglobal,2023-07-21,12610638,English,yes,2,52657
https://www.facebook.com/23230437118,India Today,IndiaToday,2023-07-21,12561006,English,yes,69,1434
https://www.facebook.com/163894420746277,Farid Dieck,faridieck,2023-07-21,12544281,Spanish,yes,6,424656
https://www.facebook.com/137547819655114,Danilo Gentili,Danilo.Gentili.Oficial,2023-07-21,12471249,Portuguese,yes,0,0
https://www.facebook.com/168552943381,Eros Now,erosnow,2023-03-09,12425511,English,yes,4,38104
https://www.facebook.com/961666657256826,C Channel,cchannel.thailand,2023-03-09,12410491,Thai,yes,1,1716
https://www.facebook.com/1627797554143389,Eleven Broadcasting,elevenbroadcasting,2023-03-09,12376274,Burmese,yes,1,0
https://www.facebook.com/178059100464208,Vasilvana1,Vasilvana1,2023-07-21,12365187,Spanish,yes,4,0
https://www.facebook.com/102644633753,ABS-CBN Film Productions Inc. (Star Cinema),starcinemaofficial,2023-03-09,12364247,English,yes,10,32454
https://www.facebook.com/505510849485097,ICC Cricket World Cup,cricketworldcup,2023-03-09,12348772,English,yes,2,49077
https://www.facebook.com/687383314630872,Ozzy Man Reviews,ozzymanreviews,2023-03-09,12291953,English,yes,1,1762433
https://www.facebook.com/529528340412792,Video Youm7- فيديو اليوم السابع,Youm7Videos,2023-03-09,12219898,Arabic,yes,0,0
https://www.facebook.com/108134027281621,Brad Mondo,bradmondo,2023-07-21,12192076,English,yes,11,179455
https://www.facebook.com/8303218826,Jeff Dunham,JeffDunham,2023-07-25,12183215,English,yes,5,5885
https://www.facebook.com/156979601031358,Layalina | ليالينا,Layalina,2023-03-09,12164977,Arabic,yes,0,8754
https://www.facebook.com/168633756520671,Dunya News,dunyanews,2023-06-12,12131793,Urdu,yes,71,4012
https://www.facebook.com/157146604310435,FOX Deportes,foxdeportes,2023-07-21,12127547,Spanish,yes,41,7522
https://www.facebook.com/1636457193277990,Voompla,voompla,2023-07-21,12035933,English,yes,133,65102
https://www.facebook.com/650362515145994,هي وبس,heyawabas,2023-03-09,11985185,Arabic,yes,1,184447
https://www.facebook.com/146310252233186,Pho,PhoTeam,2023-03-09,11927610,Vietnamese,yes,7,12328
https://www.facebook.com/145035156843,Erich Gonzales,ErichGGOfficial,2023-03-09,11895177,English,yes,0,0
https://www.facebook.com/89354401831,Maria Marin,MariaMarinOnline,2023-03-09,11851909,Spanish,yes,10,0
